CountyName,Year,beef,milk,steers,bulls,dairy_150,dairy_440,fin_cattle,hogs_fin,hogs_sow,hogs_boars
AUDUBON,1972,17000,3400,1743,850,6917,6917,1488,47722,12,231
AUDUBON,1973,17900,3000,1586,895,5564,5564,14395,46388,11,230
AUDUBON,1974,17900,2700,1416,895,4475,4475,14339,45388,10,198
AUDUBON,1975,19000,2600,990,950,4048,4048,10730,41988,10,209
AUDUBON,1976,19550,2500,1263,978,3311,3311,11954,112133,11,230
AUDUBON,1977,20070,2286,1255,1004,3286,3286,13085,122633,12,247
AUDUBON,1978,19800,2000,1395,990,3248,3248,14798,131667,13,260
AUDUBON,1979,17500,1700,1337,875,2904,2904,13779,145000,12,240
AUDUBON,1980,18000,1600,1147,900,2953,2953,12382,166667,12,239
AUDUBON,1981,20700,1400,1131,1035,2361,2361,13577,160394,12,235
AUDUBON,1982,19400,1400,933,970,2029,2029,12111,146667,10,204
AUDUBON,1983,16300,1400,999,815,2254,2254,12600,146667,10,208
AUDUBON,1984,16600,1000,825,830,1271,1271,8642,137333,10,197
AUDUBON,1985,14000,800,726,700,1102,1102,8242,135000,9,189
AUDUBON,1986,13000,800,743,650,951,951,7581,126000,9,181
AUDUBON,1987,12000,600,817,600,785,785,8939,118000,10,190
AUDUBON,1988,13300,500,821,665,556,556,9274,127000,9,183
AUDUBON,1989,14100,500,759,705,513,513,9253,123000,10,191
AUDUBON,1990,13700,400,809,685,431,431,9186,130753,9,183
AUDUBON,1991,13063,352,850,653,379,379,9117,141791,10,206
AUDUBON,1992,12443,341,726,622,379,379,8992,148136,10,194
AUDUBON,1993,11711,329,735,586,375,375,8912,155206,10,194
AUDUBON,1994,10931,322,759,547,380,380,8836,160023,9,171
AUDUBON,1995,10500,297,751,525,367,367,8750,162900,8,155
AUDUBON,1996,9584,285,743,479,361,361,8664,165313,7,143
AUDUBON,1997,8916,252,825,446,312,312,8608,180037,583,11668
AUDUBON,1998,8423,225,825,421,288,288,7942,205632,639,12781
AUDUBON,1999,8396,190,842,420,235,235,8981,228567,684,13670
AUDUBON,2000,8279,156,908,414,188,188,8969,249871,759,15178
AUDUBON,2001,7800,116,867,390,143,143,8456,273583,874,17471
AUDUBON,2002,9667,97,11751,483,26,26,10487,296036,982,19638
AUDUBON,2003,10000,200,11139,500,51,51,10380,317965,1069,21388
AUDUBON,2004,9000,146,11471,450,71,71,10157,339336,1237,24736
AUDUBON,2005,8000,142,12694,400,94,94,10565,360142,1401,28026
AUDUBON,2006,8500,158,14260,425,70,70,11753,382735,1574,31471
AUDUBON,2007,10690,253,21753,534,15,15,16019,411676,1654,33078
AUDUBON,2008,7876,371,16541,394,210,210,14133,407931,1595,31905
AUDUBON,2009,7581,282,15501,379,193,193,13637,396407,1578,31553
AUDUBON,2010,7376,197,15749,369,134,134,13571,390571,1483,29664
AUDUBON,2011,7119,104,15483,356,79,79,13333,388099,1369,27372
AUDUBON,2012,7955,4,16781,398,2,2,13617,383584,1068,21363
AUDUBON,2013,8300,8,13219,415,5,5,12328,387681,1212,24231
AUDUBON,2014,7900,8,12279,395,6,6,11914,398136,1262,25230
AUDUBON,2015,7700,9,11673,385,8,8,11611,402849,1287,25730
AUDUBON,2016,7500,9,11269,375,9,9,11375,413070,1287,25730
AUDUBON,2017,7030,7,14384,352,4,4,12312,420890,1249,24981
AUDUBON,2018,7100,9,11395,355,7,7,11315,424246,1274,25480
AUDUBON,2019,7000,9,11570,350,7,7,11374,428150,1311,26230
BENTON,1968,22200,5600,16759,1110,7084,7084,13103,423604,3243,64870
BENTON,1969,23000,5200,19276,1150,6027,6027,13942,406104,3018,60368
BENTON,1970,24900,5000,19276,1245,5065,5065,13942,416771,2988,59754
BENTON,1971,23600,4600,17351,1180,4997,4997,13301,409771,2526,50520
BENTON,1972,25300,4500,18397,1265,4797,4797,13649,406104,2596,51927
BENTON,1973,26300,4400,16742,1315,4589,4589,22481,403104,2571,51415
BENTON,1974,25200,4200,14939,1260,4279,4279,21646,395437,2225,44509
BENTON,1975,24800,4100,10453,1240,4427,4427,18784,393537,2337,46734
BENTON,1976,25300,3600,13327,1265,4061,4061,19659,155967,2578,51569
BENTON,1977,24380,3454,13240,1219,3915,3915,19547,159967,2764,55277
BENTON,1978,22500,3200,14721,1125,3764,3764,19740,153333,2916,58322
BENTON,1979,20000,3000,14111,1000,3710,3710,19370,166667,2694,53870
BENTON,1980,21100,3000,12108,1055,3282,3282,17703,176667,2679,53590
BENTON,1981,21700,3000,11933,1085,3491,3491,18178,175660,2636,52720
BENTON,1982,20600,3000,9843,1030,3033,3033,16081,166667,2284,45685
BENTON,1983,17300,2900,10540,865,3187,3187,15580,170000,2328,46555
BENTON,1984,16100,2800,8711,805,3451,3451,13104,165333,2213,44252
BENTON,1985,14000,2800,7665,700,4153,4153,13222,165000,2110,42207
BENTON,1986,13500,2800,7839,675,4053,4053,12613,148000,2027,40544
BENTON,1987,14000,2700,8623,700,3393,3393,16041,148333,2136,42718
BENTON,1988,14000,2500,8667,700,3646,3646,16556,154000,2046,40928
BENTON,1989,14600,2700,8014,730,3664,3664,17171,163000,2149,42973
BENTON,1990,12600,2700,8536,630,4018,4018,16645,155912,2046,40928
BENTON,1991,12402,2421,8972,620,3337,3337,16090,152453,2302,46044
BENTON,1992,12227,2387,7665,611,3197,3197,14955,143320,2174,43486
BENTON,1993,11940,2354,7752,597,2914,2914,14283,135041,2174,43486
BENTON,1994,11600,2368,8014,580,2665,2665,13671,124856,1918,38370
BENTON,1995,11636,2246,7927,582,2382,2382,12942,113600,1739,34789
BENTON,1996,11139,2215,7839,557,2052,2052,12212,102756,1599,31974
BENTON,1997,10915,2029,8711,546,1467,1467,11803,100084,600,12010
BENTON,1998,10567,2207,8711,528,1675,1675,12237,101562,515,10296
BENTON,1999,10807,2313,8885,540,1723,1723,13562,101460,430,8610
BENTON,2000,10944,2416,9582,547,1745,1745,13761,100545,370,7409
BENTON,2001,10600,2600,9146,530,1972,1972,11415,100900,324,6490
BENTON,2002,9551,5302,12032,478,1622,1622,10263,100652,269,5375
BENTON,2003,9500,6000,11616,475,1724,1724,10205,96764,222,4447
BENTON,2004,9000,4300,12122,450,1718,1718,9707,92763,193,3865
BENTON,2005,8000,4000,13555,400,1841,1841,10185,88684,161,3213
BENTON,2006,8500,4500,15349,425,1251,1251,10783,85278,126,2530
BENTON,2007,11979,4474,23570,599,1413,1413,22767,83681,85,1710
BENTON,2008,12800,4300,16881,640,2059,2059,18579,92402,81,1619
BENTON,2009,12300,4300,14746,615,2466,2466,15909,103518,90,1797
BENTON,2010,11900,4300,13775,595,2579,2579,13627,116268,95,1910
BENTON,2011,11400,4200,12225,570,2908,2908,11152,130490,101,2010
BENTON,2012,9214,3735,11650,461,2133,2133,9002,144087,91,1810
BENTON,2013,9600,3700,9017,480,2393,2393,7787,163966,103,2053
BENTON,2014,9100,3600,8218,455,2427,2427,7183,187410,107,2138
BENTON,2015,9800,3700,7653,490,2516,2516,6657,207087,109,2181
BENTON,2016,10500,3400,7226,525,2305,2305,6177,230913,109,2181
BENTON,2017,11916,4516,9000,596,1414,1414,6431,253003,106,2117
BENTON,2018,12000,4400,7130,600,1659,1659,5808,256212,108,2159
BENTON,2019,11800,4400,7240,590,1693,1693,5845,259946,111,2223
BLACK HAWK,1968,7200,9800,10486,360,12439,12439,6927,217592,275,5498
BLACK HAWK,1969,7400,9500,12061,370,11431,11431,7452,209758,256,5116
BLACK HAWK,1970,8000,8500,12061,400,10313,10313,7452,214758,253,5064
BLACK HAWK,1971,7300,8200,10857,365,9596,9596,7050,210425,214,4282
BLACK HAWK,1972,7200,7700,11511,360,10136,10136,7268,208758,220,4401
BLACK HAWK,1973,7900,7200,10475,395,8614,8614,12058,208092,218,4357
BLACK HAWK,1974,8100,6700,9347,405,7662,7662,10149,208758,189,3772
