CountyName,Year,State,CN_lb/ac
BLACK HAWK,2013,IA,71.22932553
BLACK HAWK,2014,IA,61.05669072
BLACK HAWK,2015,IA,64.7719823
BLACK HAWK,2016,IA,69.15809027
BLACK HAWK,2017,IA,70.49289778
BLACK HAWK,2018,IA,63.46801576
BLACK HAWK,2019,IA,64.21492001
BOONE,1968,IA,39.64971953
BOONE,1969,IA,39.42589029
BOONE,1970,IA,40.29072676
BOONE,1971,IA,41.19912805
BOONE,1972,IA,42.01998734
BOONE,1973,IA,47.68865715
BOONE,1974,IA,51.51922798
BOONE,1975,IA,49.10666874
BOONE,1976,IA,67.04189953
BOONE,1977,IA,57.51537045
BOONE,1978,IA,54.18169845
BOONE,1979,IA,61.46824049
BOONE,1980,IA,60.69064969
BOONE,1981,IA,66.06588926
BOONE,1982,IA,59.68484284
BOONE,1983,IA,58.17148421
BOONE,1984,IA,58.82304549
BOONE,1985,IA,68.57430629
BOONE,1986,IA,58.63937027
BOONE,1987,IA,61.87543563
BOONE,1988,IA,66.43035568
BOONE,1989,IA,63.11718338
BOONE,1990,IA,63.10097027
BOONE,1991,IA,59.00282985
BOONE,1992,IA,59.57684148
BOONE,1993,IA,50.49662574
BOONE,1994,IA,67.13416763
BOONE,1995,IA,55.27656751
BOONE,1996,IA,69.90345837
BOONE,1997,IA,58.96634212
BOONE,1998,IA,60.63623193
BOONE,1999,IA,56.54081542
BOONE,2000,IA,59.88757409
BOONE,2001,IA,48.97002802
BOONE,2002,IA,52.67886431
BOONE,2003,IA,59.04959468
BOONE,2004,IA,60.32713709
BOONE,2005,IA,65.76918421
BOONE,2006,IA,60.86133483
BOONE,2007,IA,74.82140736
BOONE,2008,IA,75.78404055
BOONE,2009,IA,63.75063903
BOONE,2010,IA,69.38138198
BOONE,2011,IA,83.43342483
BOONE,2012,IA,84.25239373
BOONE,2013,IA,77.62798645
BOONE,2014,IA,68.46153387
BOONE,2015,IA,71.71590755
BOONE,2016,IA,76.63724572
BOONE,2017,IA,78.15562526
BOONE,2018,IA,70.32731758
BOONE,2019,IA,71.15798935
BREMER,1968,IA,37.99963656
BREMER,1969,IA,33.35288851
BREMER,1970,IA,35.23342576
BREMER,1971,IA,36.85823075
BREMER,1972,IA,37.64581047
BREMER,1973,IA,48.68676858
BREMER,1974,IA,53.15031367
BREMER,1975,IA,49.18725371
BREMER,1976,IA,64.03207858
BREMER,1977,IA,51.914898
BREMER,1978,IA,50.32447853
